danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.78,0.0867,7,-20.082,1,0.128,0.889,0.000889,0.108,0.394,119.802
0.578,0.835,11,-9.434,0,0.0512,0.436,0.0198,0.176,0.127,168.072
0.824,0.538,5,-7.302,0,0.0813,0.522,0,0.154,0.481,108.988
0.936,0.518,0,-6.853,0,0.173,0.0673,9.46e-05,0.0764,0.402,120.039
0.901,0.77,8,-6.616,1,0.202,0.351,0,0.334,0.965,140.145
0.756,0.744,0,-7.124,0,0.0755,0.354,3e-05,0.0991,0.593,127.995
0.915,0.676,0,-4.376,0,0.0662,0.119,0,0.0579,0.61,128.027
0.853,0.734,9,-8.15,1,0.134,0.272,0,0.152,0.43,99.959
0.778,0.781,6,-4.953,0,0.073,0.21,0,0.155,0.568,119.995
0.813,0.824,5,-4.132,1,0.252,0.188,0,0.149,0.738,108.998
0.97,0.516,0,-7.949,0,0.2,0.157,1.1e-06,0.0557,0.815,119.992
0.654,0.517,8,-10.969,1,0.072,0.639,0.00964,0.179,0.211,105.013
0.825,0.681,6,-7.882,0,0.289,0.0463,0.0166,0.112,0.656,160.029
0.802,0.648,1,-8.136,1,0.173,0.0169,0,0.121,0.43,144.955
0.778,0.737,5,-6.572,0,0.273,0.291,0.000274,0.111,0.667,141.98
0.906,0.652,6,-6.606,0,0.293,0.153,0,0.321,0.516,126.989
0.972,0.658,2,-5.711,1,0.111,0.069,0,0.104,0.107,111.967
0.919,0.652,1,-6.07,1,0.112,0.0445,0,0.114,0.096,141.977
0.746,0.64,2,-6.949,1,0.0685,0.39,0,0.366,0.56,122.081
0.374,0.338,2,-6.556,1,0.0384,0.758,0,0.0976,0.129,68.018
0.506,0.355,9,-8.394,1,0.0282,0.812,0,0.105,0.185,110.663
0.405,0.342,9,-6.54,1,0.0334,0.779,0,0.096,0.123,68.388
0.359,0.469,7,-8.06,1,0.0326,0.745,0,0.101,0.259,84.366
0.474,0.461,0,-6.292,0,0.0328,0.229,0,0.111,0.116,73.994
0.468,0.168,3,-9.557,1,0.0402,0.862,0,0.11,0.303,123.088
0.394,0.361,6,-6.682,1,0.0307,0.677,0,0.107,0.184,124.52
0.892,0.443,0,-6.178,1,0.0379,0.439,0,0.0866,0.714,107.983
0.584,0.287,1,-5.912,1,0.0287,0.816,0,0.106,0.224,136.019
0.68,0.28,9,-9.775,1,0.0508,0.811,0.909,0.096,0.15,69.993
0.61,0.418,2,-10.152,1,0.0285,0.378,1.95e-06,0.343,0.287,139.999
0.607,0.3,2,-12.331,1,0.0283,0.312,0,0.324,0.35,139.944
0.696,0.89,2,-3.174,1,0.0298,0.0947,0.0527,0.281,0.876,140.016
0.64,0.312,2,-11.927,1,0.036,0.0597,0.889,0.0725,0.333,69.998
0.74,0.237,2,-13.381,1,0.0368,0.248,7.17e-05,0.36,0.48,139.855
0.631,0.84,2,-3.879,1,0.0278,0.0198,0.000463,0.3,0.961,138.038
0.793,0.891,0,-5.02,0,0.0473,0.0373,0.822,0.337,0.677,130.005
0.724,0.897,11,-6.089,0,0.0383,0.0847,0.000984,0.364,0.879,135.019
0.573,0.416,3,-10.334,1,0.0366,0.762,0,0.144,0.285,127.996
0.629,0.329,9,-11.103,0,0.0303,0.869,0,0.108,0.473,139.826
0.61,0.827,9,-4.153,1,0.0304,0.295,0,0.116,0.184,109.942
0.653,0.884,2,-5.055,1,0.0333,0.0195,0.000879,0.396,0.891,138.008
0.675,0.859,2,-6.223,1,0.0335,0.000922,0.851,0.374,0.964,138.018
0.739,0.537,2,-7.241,0,0.0394,0.251,0,0.0998,0.379,137.97
0.523,0.525,2,-8.795,1,0.0353,0.321,0.00036,0.0565,0.235,77.813
0.617,0.667,1,-5.993,1,0.0305,0.442,0.000166,0.298,0.468,79.993
0.655,0.594,1,-7.228,1,0.0273,0.345,4.64e-05,0.187,0.557,109.985
0.653,0.356,1,-9.972,1,0.3,0.534,0.00107,0.133,0.266,75.053
0.62,0.543,1,-6.313,1,0.4,0.138,0,0.135,0.528,110.648
0.763,0.647,10,-8.253,0,0.0386,0.175,6.16e-06,0.436,0.547,121.995
0.716,0.799,3,-4.659,1,0.171,0.546,0,0.148,0.671,80.066
0.471,0.349,8,-11.854,1,0.0319,0.452,0.04,0.0978,0.244,168.012
0.651,0.541,1,-8.364,1,0.231,0.695,3.31e-06,0.406,0.204,84.086
0.627,0.591,4,-7.908,1,0.0316,0.344,0.000134,0.159,0.358,140.018
0.766,0.511,7,-7.47,1,0.0842,0.536,0,0.111,0.609,104.944
0.41,0.34,5,-14.294,0,0.0489,0.849,0.324,0.394,0.0955,92.711
